"Model","Locus_name","Model_string","Rates","Likelihood","Unconstrained_likelihood","parameters","AIC","AICc","BIC","Best","Length","Ntaxa","Percent_constant","Percent_parsimony_informative","Site_patterns","RF_distance","nRF_distance","wRF_distance","KF_distance","PD_distance","wPD_distance","geodesic_distance","Tree_Length","Sum_int","prop_int","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"Mixture","cluster10146.cds.aln-cln","TN+FO+G4","G4",-2526.007,-2153.485,"TN{1,2.2195,1,1,5.0193,1}+FO{0.2973,0.1839,0.2772,0.2416}",5162.0141,5172.0141,5410.0783,"Mixture",672,26,0.724702380952381,"11.46%",164,22,0.4783,0.5232,0.1422,48.4562,1.0291,NA,"0.6488","0.1838","0.2833","0","0.0019","0.006","0.0134","0.0142","0.125"
"One_class","cluster10146.cds.aln-cln","K2P+G4","G4",-2540.3818,-2153.485,"K2P{1,3.2894,1,1,3.2894,1}+G4{0.25,0.25,0.25,0.25}",5182.7636,5191.3184,5412.7868,"Mixture",672,26,0.724702380952381,"11.46%",164,26,0.5652,0.5355,0.1414,61.5467,0.9764,NA,"0.6556","0.1914","0.2919","0","0.0019","0.0059","0.0132","0.0142","0.1232"
"Mixture","cluster10152.cds.aln-cln","MIX{TNe,JC+FO}+G","G4",-3879.5564,-2823.6755,"TNe{9.0657,17.6912}+FQ;JC",7865.1128,7872.8375,8113.065,"Mixture",795,26,0.637735849056604,"17.86%",240,34,0.7391,0.3726,0.0918,47.8748,0.7762,NA,"0.9811","0.1737","0.177","0","0.0016","0.0111","0.0195","0.0249","0.1548"
"One_class","cluster10152.cds.aln-cln","TNe+G4","G4",-3893.8781,-2823.6755,"TNe{1,2.674,1,1,4.0626,1}+G4{0.25,0.25,0.25,0.25}",7891.7561,7899.1847,8135.0299,"Mixture",795,26,0.637735849056604,"17.86%",240,34,0.7391,0.384,0.1012,47.5395,0.8546,NA,"0.9568","0.1678","0.1754","0","0.0016","0.011","0.02","0.0231","0.1682"
"Mixture","cluster10136.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-5165.1371,-3776.3034,"K2P{7.18984}+FQ;JC",10434.2742,10441.2514,10680.5965,"Mixture",843,26,0.497034400948992,"29.89%",380,26,0.5652,0.306,0.0803,44.911,0.6765,NA,"1.2675","0.2528","0.1994","0","0.0013","0.0107","0.0252","0.0231","0.2415"
"One_class","cluster10136.cds.aln-cln","K2P+G4","G4",-5173.688,-3776.3034,"K2P{1,3.4552,1,1,3.4552,1}+G4{0.25,0.25,0.25,0.25}",10449.3761,10456.0815,10690.9614,"Mixture",843,26,0.497034400948992,"29.89%",380,26,0.5652,0.2851,0.0714,44.911,0.5912,NA,"1.2366","0.249","0.2014","0","0.0012","0.0107","0.0259","0.0233","0.2559"
"Mixture","cluster10151.cds.aln-cln","MIX{HKY+FO,JC+FO}+G","G4",-6362.1666,-4618.2697,"HKY{20.1666}+FO{0.171075,0.229245,0.259985,0.339694};JC",12834.3333,12839.1048,13120.6432,"Mixture",1347,26,0.66369710467706,"19.01%",342,28,0.6087,0.3278,0.0771,42.5676,0.7722,NA,"0.8401","0.1931","0.2299","0","0.0012","0.0093","0.0166","0.016","0.1704"
"One_class","cluster10151.cds.aln-cln","TPM2u+F+G4","G4",-6401.0699,-4618.2697,"TPM2u{1.4549,4.7645,1.4549,1,4.7645,1}+F{0.2004,0.2324,0.2621,0.305}",12912.1397,12916.9112,13198.4497,"Mixture",1347,26,0.66369710467706,"19.01%",342,28,0.6087,0.3528,0.0907,42.3792,0.853,NA,"0.8129","0.1891","0.2326","0","0.0014","0.009","0.0171","0.0168","0.1879"
"Mixture","cluster10038.cds.aln-cln","MIX{K2P,JC+FO}+I+R2","I+R2",-9522.9059,-7053.8918,"K2P{8.77867}+FQ;JC",19153.8118,19157.957,19440.292,"Mixture",1488,26,0.495967741935484,"27.76%",612,22,0.4783,0.3829,0.1483,37.3095,0.7842,NA,"1.4105","0.2656","0.1883","0","0.0014","0.0154","0.0283","0.0261","0.3473"
"One_class","cluster10038.cds.aln-cln","K2P+R3","R3",-9545.3673,-7053.8918,"K2P{1,3.5849,1,1,3.5849,1}+R3{0.25,0.25,0.25,0.25}",19198.7345,19202.8797,19485.2147,"Mixture",1488,26,0.495967741935484,"27.76%",612,20,0.4348,0.3471,0.1322,36.1801,0.6996,NA,"1.3859","0.2652","0.1914","0","0.0016","0.0156","0.0288","0.026","0.3627"
